rank,tier,protocol,chains,score,volume_30d_usd,fees_30d_usd,trend_7d_pct,pain_angle,offer,price,contact_route,contact_url,source_urls,verification,next_action
1,A - pitch now,Aerodrome,Base,100,17646524104,9717878,25.24,visible markets could use a cleaner operator summary,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @aerodromefi,https://x.com/aerodromefi,https://defillama.com/protocol/aerodrome-slipstream | https://defillama.com/protocol/aerodrome-v1,Public route found; verify before sending,Send X DM with sample report CTA
2,A - pitch now,Uniswap,Base | Optimism | Unichain | Zora,100,11055364442,24105236,1.17,multi-chain Superchain footprint needs one consolidated evidence view,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @Uniswap,https://x.com/Uniswap,https://defillama.com/protocol/uniswap-v4 | https://defillama.com/protocol/uniswap-v3 | https://defillama.com/protocol/uniswap-v2,Public route found; verify before sending,Send X DM and look for ecosystem/BD email
3,A - pitch now,PancakeSwap,Base,100,3925947323,590656,-10.53,fee output may need clearer source-backed explanation relative to visible volume,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @PancakeSwap,https://x.com/PancakeSwap,https://defillama.com/protocol/pancakeswap-amm-v3 | https://defillama.com/protocol/pancakeswap-infinity | https://defillama.com/protocol/pancakeswap-amm,Public route found; verify before sending,Send X DM with Base-specific angle
4,A - pitch now,Hanji Protocol,Base,100,89787397,8945,-68.93,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @HanjiProtocol,https://x.com/HanjiProtocol,https://defillama.com/protocol/hanji-protocol,Public route found; verify before sending,Pitch weak-market diagnostic
5,A - pitch now,Curve,Base | Optimism | Unichain,99,82014257,179575,-61.68,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @CurveFinance,https://x.com/CurveFinance,https://defillama.com/protocol/curve-dex,Public route found; verify before sending,Pitch monitoring instead of one-off only
6,A - pitch now,Clober,Base,95,12013342,1207,-55.41,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @CloberDEX,https://x.com/CloberDEX,https://defillama.com/protocol/clober-v2,Public route found; verify before sending,Pitch weak-market diagnostic
7,A - pitch now,Velodrome,Optimism | Mode | Unichain,92,325582901,152575,15.49,multi-chain Superchain footprint needs one consolidated evidence view,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @VelodromeFi,https://x.com/VelodromeFi,https://defillama.com/protocol/velodrome-v3 | https://defillama.com/protocol/velodrome-v2 | https://defillama.com/protocol/velodrome-v1,Public route found; verify before sending,Pitch recurring Superchain monitoring
8,A - pitch now,ElfomoFi,Base,92,187824408,15776,33.00,fee output may need clearer source-backed explanation relative to visible volume,Mini Liquidity Evidence Pack,$500 fixed,Official X @elfomo_fi,https://x.com/elfomo_fi,https://defillama.com/protocol/elfomofi,Public route found; verify before sending,Send X DM with fee-efficiency angle
9,A - pitch now,SushiSwap,Base | Optimism,91,36811824,5489,34.36,fee output may need clearer source-backed explanation relative to visible volume,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @SushiSwap,https://x.com/SushiSwap,https://defillama.com/protocol/sushiswap-v3 | https://defillama.com/protocol/sushiswap | https://defillama.com/protocol/sushi-trident,Public route found; verify before sending,Pitch Base/Optimism monitoring
10,A - pitch now,Metric,Base,90,1010635545,,-15.91,public volume is visible but fee attribution needs a clean evidence pack,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @Metricxyz,https://x.com/Metricxyz,https://defillama.com/protocol/metric,Verify X handle before outreach,Verify protocol/contact before sending
